OS,S,Q,Std,X,R
1,1,55,5,50,30.29315961
1,1,55,5,60,31.9218241
1,1,45,5,40,25.01628664
1,1,30,0,30,10.81433225
1,1,50,10,40,20.52117264
1,1,55,15,70,40
1,1,50,20,70,43.06188925
1,1,50,20,30,11.66123779
1,1,55,15,40,18.24104235
1,1,45,15,60,31.14006515
1,1,45,15,30,10.48859935
1,1,60,0,60,33.68078176
1,1,50,0,50,28.92508143
1,1,45,5,50,27.29641694
1,1,50,10,60,38.30618893
1,1,40,0,40,19.93485342
1,1,50,20,30,10.09771987
1,1,50,0,50,23.45276873
1,1,50,10,60,33.94136808
1,1,55,15,40,24.82084691
1,1,55,5,60,44.95114007
1,1,55,15,70,50.09771987
1,1,45,5,40,29.05537459
1,1,55,5,50,29.51140065
1,1,40,0,40,19.41368078
1,1,45,15,60,37.52442997
1,1,30,0,30,10.16286645
1,1,50,10,40,20.06514658
1,1,50,20,70,49.25081433
1,1,45,15,30,10.03257329
1,1,60,0,60,45.99348534
1,1,45,5,50,22.47557003
1,1,55,5,50,25.01628664
1,1,45,5,50,29.64169381
1,1,60,0,60,37.13355049
1,1,55,5,60,39.73941368
1,1,45,15,60,39.3485342
1,1,30,0,30,10.09771987
1,1,50,0,50,24.75570033
1,1,40,0,40,25.1465798
1,1,50,20,70,46.64495114
1,1,50,10,60,44.88599349
1,1,45,15,30,10.03257329
1,1,50,20,30,10.94462541
1,1,55,15,70,31.72638436
1,1,50,10,40,25.27687296
1,1,45,5,40,24.88599349
1,1,55,15,40,26.51465798
1,1,55,5,60,39.41368078
1,1,45,5,50,26.51465798
1,1,55,15,70,42.14983713
1,1,45,15,60,39.6742671
1,1,45,5,40,18.63192182
1,1,50,10,40,22.80130293
1,1,30,0,30,11.07491857
1,1,50,20,70,46.7752443
1,1,60,0,60,38.76221498
1,1,45,15,30,10.29315961
1,1,40,0,40,15.63517915
1,1,50,20,30,17.52442997
1,1,55,15,40,19.60912052
1,1,55,5,50,22.93159609
1,1,50,0,50,26.64495114
1,1,50,10,60,35.11400651
1,1,45,5,50,25.01628664
1,1,45,15,30,12.50814332
1,1,55,5,50,25.08143322
1,1,50,10,40,20.06514658
1,1,50,20,30,13.15960912
1,1,55,15,70,40.39087948
1,1,30,0,30,9.90228013
1,1,55,5,60,27.1009772
1,1,45,5,40,22.34527687
1,1,55,15,40,26.05863192
1,1,50,0,50,30.03257329
1,1,50,20,70,40
1,1,40,0,40,19.15309446
1,1,60,0,60,29.83713355
1,1,45,15,60,38.24104235
1,1,50,10,60,39.21824104
2,2,30,0,30,16.54723127
2,2,50,0,50,38.76221498
2,2,55,5,60,45.08143322
2,2,50,10,40,40
2,2,50,20,30,25.92833876
2,2,45,15,30,32.76872964
2,2,45,5,40,40.45602606
2,2,55,15,40,42.21498371
2,2,55,15,70,58.30618893
2,2,55,5,50,49.77198697
2,2,50,20,70,56.48208469
2,2,60,0,60,58.82736156
2,2,50,10,60,51.53094463
2,2,45,5,50,38.95765472
2,2,45,15,60,54.07166124
2,2,40,0,40,30.16286645
2,2,30,0,30,22.21498371
2,2,50,10,40,37.98045603
2,2,50,10,60,43.06188925
2,2,60,0,60,59.54397394
2,2,50,20,70,39.93485342
2,2,50,20,30,29.18566775
2,2,40,0,40,35.50488599
2,2,45,15,30,30.94462541
2,2,50,0,50,40.45602606
2,2,45,5,50,43.51791531
2,2,55,5,50,46.38436482
2,2,45,15,60,56.41693811
2,2,55,5,60,50.29315961
2,2,55,15,70,49.57654723
2,2,45,5,40,33.61563518
2,2,55,15,40,37.06840391
2,2,60,0,60,55.50488599
2,2,50,20,30,28.27361564
2,2,55,15,70,52.96416938
2,2,45,5,40,40.13029316
2,2,50,10,40,39.47882736
2,2,45,15,30,44.75570033
2,2,55,5,60,57.91530945
2,2,40,0,40,39.80456026
2,2,55,5,50,34.5276873
2,2,45,5,50,38.63192182
2,2,30,0,30,25.34201954
2,2,50,0,50,39.80456026
2,2,50,20,70,55.04885993
2,2,50,10,60,59.73941368
2,2,55,15,40,40.13029316
2,2,45,15,60,49.90228013
2,2,55,5,50,50.03257329
2,2,45,15,30,30.09771987
2,2,50,20,70,58.63192182
2,2,45,5,40,30.55374593
2,2,55,5,60,58.95765472
2,2,60,0,60,60.06514658
2,2,40,0,40,34.91856678
2,2,50,10,60,48.79478827
2,2,55,15,40,29.83713355
2,2,45,15,60,54.98371336
2,2,30,0,30,27.16612378
2,2,50,10,40,30.42345277
2,2,45,5,50,35.17915309
2,2,50,0,50,40.19543974
2,2,55,15,70,44.29967427
2,2,50,20,30,30.03257329
2,2,55,15,70,58.56677524
2,2,50,20,70,61.3029316
2,2,50,10,40,47.55700326
2,2,45,5,40,37.00325733
2,2,45,5,50,42.41042345
2,2,55,5,50,50.16286645
2,2,45,15,30,28.53420195
2,2,45,15,60,49.90228013
2,2,60,0,60,51.40065147
2,2,40,0,40,39.93485342
2,2,30,0,30,25.86319218
2,2,55,15,40,33.68078176
2,2,50,10,60,44.23452769
2,2,50,20,30,29.83713355
2,2,50,0,50,45.53745928
2,2,55,5,60,50.74918567
3,3,30,0,30,27.752443
3,3,55,5,50,46.18892508
3,3,45,15,30,29.57654723
3,3,50,10,40,40.39087948
3,3,45,15,60,59.93485342
3,3,60,0,60,60.3257329
3,3,45,5,50,40.6514658
3,3,55,5,60,49.25081433
3,3,50,0,50,41.95439739
3,3,40,0,40,40.26058632
3,3,50,10,60,40.71661238
3,3,50,20,70,31.46579805
3,3,55,15,70,40.6514658
3,3,55,15,40,41.23778502
3,3,50,20,30,29.51140065
3,3,45,5,40,41.17263844
3,3,45,5,50,41.3029316
3,3,50,10,40,40.13029316
3,3,45,15,60,50.03257329
3,3,45,15,30,27.49185668
3,3,55,15,40,31.33550489
3,3,50,0,50,31.53094463
3,3,50,20,70,31.59609121
3,3,60,0,60,39.80456026
3,3,45,5,40,30.68403909
3,3,50,10,60,40.45602606
3,3,55,5,50,42.21498371
3,3,40,0,40,32.83387622
3,3,55,15,70,44.49511401
3,3,50,20,30,32.96416938
3,3,30,0,30,25.01628664
3,3,55,5,60,39.93485342
3,3,60,0,60,49.90228013
3,3,55,15,40,36.93811075
3,3,40,0,40,38.95765472
3,3,50,0,50,35.57003257
3,3,55,15,70,41.10749186
3,3,50,10,40,43.77850163
3,3,45,5,40,39.73941368
3,3,55,5,50,42.86644951
3,3,45,15,30,28.27361564
3,3,50,10,60,31.79153094
3,3,45,15,60,42.08469055
3,3,50,20,30,28.53420195
3,3,55,5,60,35.63517915
3,3,50,20,70,38.30618893
3,3,45,15,30,37.91530945
3,3,40,0,40,45.21172638
3,3,55,15,70,34.33224756
3,3,50,10,60,31.85667752
3,3,45,5,50,41.17263844
3,3,55,15,40,29.57654723
3,3,55,5,50,29.70684039
3,3,45,15,60,30.68403909
3,3,60,0,60,37.13355049
3,3,55,5,60,38.24104235
3,3,30,0,30,18.63192182
3,3,50,20,70,33.35504886
3,3,50,0,50,36.02605863
3,3,50,20,30,20.26058632
3,3,45,15,60,48.92508143
3,3,40,0,40,30.61889251
3,3,50,0,50,34.59283388
3,3,55,5,50,30.42345277
