"","a"
"1",36.9544505883417
"2",38.5711884480735
"3",32.7480269107428
"4",28.5127721305297
"5",32.840293508151
"6",37.7243049237398
"7",35.2322409982107
"8",28.6530235757028
"9",32.9859030146763
"10",33.5729319873271
"11",28.6700143906683
"12",41.152185761148
"13",37.0055622003331
"14",34.3431685445629
"15",36.0118802052975
"16",32.7020845411746
"17",28.6827994377125
"18",36.9723759414862
"19",36.1412898285753
"20",32.8921332721909
"21",38.5706716095103
"22",37.673490154364
"23",32.8281125839994
"24",36.8959966968724
"25",32.7849397146581
"26",33.5403458570197
"27",28.4665234921961
"28",32.7614391830146
"29",35.2047978925174
"30",28.7515064984166
"31",41.189540961021
"32",34.4978650667583
"33",36.8984400807707
"34",34.4799454954815
"35",41.1084385425627
"36",38.6546621455437
"37",33.4526959075781
"38",28.5001624158904
"39",36.9612792079919
"40",32.7014748248089
"41",35.1780581909444
"42",36.022385373787
"43",28.8062033732643
"44",28.8028186076269
"45",37.5678028265565
"46",32.8193008688493
"47",32.7570742942649
"48",32.8481390266169
"49",38.5024879237484
"50",34.4056030794217
"51",37.6907980557544
"52",33.5051308309716
"53",32.8835151680528
"54",32.6665565006685
"55",28.5629315744756
"56",35.2561529333319
"57",41.0156293922904
"58",28.6194895007517
"59",32.7649534333065
"60",28.7280355174973
"61",32.8769349806234
"62",36.9922976931799
"63",36.9651979493577
"64",36.0939248239696
"65",34.3758449252589
"66",28.7135981704093
"67",36.9966935907096
"68",32.8780325660578
"69",28.8283704819537
"70",37.7004365386703
"71",28.6359236177365
"72",38.594704806189
"73",32.7418349140665
"74",32.8957124532549
"75",36.9647116726364
"76",35.1738130754187
"77",32.8117173657233
"78",41.1588245164659
"79",33.5038744471202
"80",36.0643110825246
"81",33.4462308292277
"82",47.9190317480715
"83",52.5330679971982
"84",42.6014094149311
"85",37.1209286177738
"86",36.253602668096
"87",41.5636822787373
"88",43.3902517139284
"89",54.4166238081476
"90",48.8321501748265
"91",51.7429811234471
"92",55.1657603789054
"93",49.8053115108618
"94",45.2620288296457
"95",47.1793087496695
"96",40.6556614174502
"97",33.4976773036972
"98",42.5649339024822
"99",49.8435205771501
"100",55.2079821231113
"101",51.7212858121435
"102",37.1702238081464
"103",40.6541291947228
"104",36.1498572688014
"105",47.8407559260265
"106",45.3306453612358
"107",48.8583032546955
"108",47.1624427268467
"109",52.5029186924986
"110",54.380117954415
"111",41.5841886548047
"112",43.4270923994004
"113",55.1558555924826
"114",37.0891652434517
"115",54.3631871393138
"116",41.6900892969767
"117",42.5382587645937
"118",36.2074243106993
"119",52.4956068162346
"120",40.7163450579275
"121",48.8229577672291
"122",45.2687090275498
"123",33.3687539009101
"124",47.8999845062586
"125",51.7327480581802
"126",49.8704565970446
"127",43.4628244585146
"128",47.1797595405206
"129",48.8982207608173
"130",36.1675578543716
"131",51.8449875056825
"132",41.6721329782396
"133",52.5427075556575
"134",55.1622715253531
"135",40.6908357807407
"136",49.8915133181639
"137",43.4280152190078
"138",47.1879899920969
"139",33.4423667942381
"140",42.497601325154
"141",45.2630459823318
"142",47.9283221257876
"143",54.4457334425592
"144",37.1849804452796
"145",54.4399444387203
"146",51.7732628846117
"147",42.530135594309
"148",41.5545394408614
"149",45.2091510418338
"150",48.8534350860986
"151",36.1772306744838
"152",47.1582847813613
"153",55.1327438976011
"154",40.6720544581961
"155",33.4525209563259
"156",43.5276009787237
"157",49.8513713931026
"158",37.1003015431428
"159",47.9485058237706
"160",52.4709482919944
"161",33.5668496434561
