OS,S,Q,Std,X,R
1,1,50,10,40,20.52117264
1,1,50,10,60,38.30618893
1,1,50,10,60,33.94136808
1,1,50,10,40,20.06514658
1,1,50,10,60,44.88599349
1,1,50,10,40,25.27687296
1,1,50,10,40,22.80130293
1,1,50,10,60,35.11400651
1,1,50,10,40,20.06514658
1,1,50,10,60,39.21824104
1,1,55,15,70,40
1,1,55,15,40,18.24104235
1,1,45,15,60,31.14006515
1,1,45,15,30,10.48859935
1,1,55,15,40,24.82084691
1,1,55,15,70,50.09771987
1,1,45,15,60,37.52442997
1,1,45,15,30,10.03257329
1,1,45,15,60,39.3485342
1,1,45,15,30,10.03257329
1,1,55,15,70,31.72638436
1,1,55,15,40,26.51465798
1,1,55,15,70,42.14983713
1,1,45,15,60,39.6742671
1,1,45,15,30,10.29315961
1,1,55,15,40,19.60912052
1,1,45,15,30,12.50814332
1,1,55,15,70,40.39087948
1,1,55,15,40,26.05863192
1,1,45,15,60,38.24104235
1,1,50,20,70,43.06188925
1,1,50,20,30,11.66123779
1,1,50,20,30,10.09771987
1,1,50,20,70,49.25081433
1,1,50,20,70,46.64495114
1,1,50,20,30,10.94462541
1,1,50,20,70,46.7752443
1,1,50,20,30,17.52442997
1,1,50,20,30,13.15960912
1,1,50,20,70,40
2,2,50,10,40,40
2,2,50,10,60,51.53094463
2,2,50,10,40,37.98045603
2,2,50,10,60,43.06188925
2,2,50,10,40,39.47882736
2,2,50,10,60,59.73941368
2,2,50,10,60,48.79478827
2,2,50,10,40,30.42345277
2,2,50,10,40,47.55700326
2,2,50,10,60,44.23452769
2,2,45,15,30,32.76872964
2,2,55,15,40,42.21498371
2,2,55,15,70,58.30618893
2,2,45,15,60,54.07166124
2,2,45,15,30,30.94462541
2,2,45,15,60,56.41693811
2,2,55,15,70,49.57654723
2,2,55,15,40,37.06840391
2,2,55,15,70,52.96416938
2,2,45,15,30,44.75570033
2,2,55,15,40,40.13029316
2,2,45,15,60,49.90228013
2,2,45,15,30,30.09771987
2,2,55,15,40,29.83713355
2,2,45,15,60,54.98371336
2,2,55,15,70,44.29967427
2,2,55,15,70,58.56677524
2,2,45,15,30,28.53420195
2,2,45,15,60,49.90228013
2,2,55,15,40,33.68078176
2,2,50,20,30,25.92833876
2,2,50,20,70,56.48208469
2,2,50,20,70,39.93485342
2,2,50,20,30,29.18566775
2,2,50,20,30,28.27361564
2,2,50,20,70,55.04885993
2,2,50,20,70,58.63192182
2,2,50,20,30,30.03257329
2,2,50,20,70,61.3029316
2,2,50,20,30,29.83713355
3,3,50,10,40,40.39087948
3,3,50,10,60,40.71661238
3,3,50,10,40,40.13029316
3,3,50,10,60,40.45602606
3,3,50,10,40,43.77850163
3,3,50,10,60,31.79153094
3,3,50,10,60,31.85667752
3,3,50,10,60,32.96416938
3,3,50,10,40,30.68403909
3,3,45,15,30,29.57654723
3,3,55,15,70,40.6514658
3,3,55,15,40,41.23778502
3,3,45,15,60,50.03257329
3,3,45,15,30,27.49185668
3,3,55,15,40,31.33550489
3,3,55,15,70,44.49511401
3,3,55,15,40,36.93811075
3,3,55,15,70,41.10749186
3,3,45,15,30,28.27361564
3,3,45,15,60,42.08469055
3,3,45,15,30,37.91530945
3,3,55,15,70,34.33224756
3,3,55,15,40,29.57654723
3,3,45,15,60,30.68403909
3,3,45,15,60,48.92508143
3,3,55,15,70,31.9218241
3,3,55,15,40,33.94136808
3,3,45,15,30,26.4495114
3,3,50,20,70,31.46579805
3,3,50,20,30,29.51140065
3,3,50,20,70,31.59609121
3,3,50,20,30,32.96416938
3,3,50,20,30,28.53420195
3,3,50,20,70,38.30618893
3,3,50,20,70,33.35504886
3,3,50,20,30,20.26058632
3,3,50,20,30,17.71986971
3,3,50,20,70,42.08469055
4,4,50,10,60,29.96742671
4,4,50,10,40,20.06514658
4,4,50,10,60,30.03257329
4,4,50,10,40,25.27687296
4,4,50,10,60,26.57980456
4,4,50,10,40,18.3713355
4,4,50,10,40,10.03257329
4,4,50,10,60,30.22801303
4,4,50,10,40,9.250814332
4,4,50,10,60,26.18892508
4,4,55,15,40,21.23778502
4,4,45,15,30,16.22149837
4,4,45,15,60,29.18566775
4,4,55,15,70,31.66123779
4,4,55,15,40,22.08469055
4,4,45,15,60,32.63843648
4,4,45,15,30,12.8990228
4,4,45,15,60,27.23127036
4,4,45,15,30,5.667752443
4,4,55,15,70,30.29315961
4,4,55,15,40,20.58631922
4,4,45,15,30,13.8762215
4,4,55,15,70,30.35830619
4,4,55,15,40,13.94136808
4,4,45,15,60,30.29315961
4,4,55,15,70,32.76872964
4,4,45,15,60,27.88273616
4,4,45,15,30,9.381107492
4,4,55,15,40,17.65472313
4,4,50,20,30,18.30618893
4,4,50,20,70,28.40390879
4,4,50,20,30,16.74267101
4,4,50,20,70,34.13680782
4,4,50,20,70,30.48859935
4,4,50,20,30,11.79153094
4,4,50,20,30,1.302931596
4,4,50,20,70,36.48208469
4,4,50,20,70,29.44625407
4,4,50,20,30,6.7752443
5,5,50,10,60,40.84690554
5,5,50,10,40,30.42345277
5,5,50,10,40,39.54397394
5,5,50,10,60,54.98371336
5,5,50,10,40,40.06514658
5,5,50,10,60,50.35830619
5,5,50,10,40,35.83061889
5,5,50,10,60,45.40716612
5,5,50,10,60,40.06514658
5,5,50,10,40,30.35830619
5,5,45,15,60,49.96742671
5,5,55,15,70,74.72312704
5,5,45,15,30,33.2247557
5,5,55,15,40,39.60912052
5,5,55,15,40,40.19543974
5,5,55,15,70,79.6742671
5,5,45,15,30,26.1237785
5,5,45,15,60,43.32247557
5,5,45,15,30,35.04885993
5,5,55,15,40,36.67752443
5,5,45,15,60,44.16938111
5,5,55,15,70,74.13680782
5,5,55,15,70,69.96742671
5,5,45,15,30,29.70684039
5,5,45,15,60,43.45276873
5,5,45,15,30,30.35830619
5,5,55,15,40,35.11400651
5,5,55,15,70,65.73289902
5,5,45,15,60,45.01628664
5,5,50,20,70,79.80456026
5,5,50,20,30,26.31921824
5,5,50,20,70,69.96742671
5,5,50,20,30,25.08143322
5,5,50,20,30,25.08143322
5,5,50,20,70,70.29315961
5,5,50,20,30,25.01628664
5,5,50,20,70,69.96742671
5,5,50,20,70,69.83713355
5,5,50,20,30,21.04234528
7,6,50,10,60,65.08143322
7,6,50,10,40,51.20521173
7,6,50,10,60,64.16938111
7,6,50,10,40,35.24429967
7,6,50,10,40,43.90879479
7,6,50,10,60,51.59609121
7,6,50,10,60,58.30618893
7,6,50,10,40,32.96416938
7,6,50,10,60,67.62214984
7,6,50,10,40,28.33876221
7,6,55,15,40,35.37459283
7,6,45,15,60,71.20521173
7,6,55,15,70,75.76547231
7,6,45,15,30,26.64495114
7,6,55,15,40,26.90553746
7,6,45,15,60,68.27361564
7,6,55,15,70,71.00977199
7,6,45,15,30,25.21172638
7,6,45,15,30,33.15960912
7,6,55,15,40,35.63517915
7,6,45,15,60,53.81107492
7,6,55,15,70,62.60586319
7,6,55,15,70,60.71661238
7,6,45,15,30,18.04560261
7,6,45,15,60,67.03583062
7,6,55,15,40,44.03908795
7,6,55,15,40,43.64820847
7,6,45,15,30,27.03583062
7,6,55,15,70,72.5732899
7,6,45,15,60,54.91856678
7,6,50,20,30,25.66775244
7,6,50,20,70,61.23778502
7,6,50,20,30,25.7980456
7,6,50,20,70,71.98697068
7,6,50,20,70,71.46579805
7,6,50,20,30,22.01954397
7,6,50,20,30,24.36482085
7,6,50,20,70,77.45928339
7,6,50,20,30,32.247557
7,6,50,20,70,62.28013029
8,7,50,10,40,18.17589577
8,7,50,10,60,34.8534202
8,7,50,10,60,36.93811075
8,7,50,10,40,33.42019544
8,7,50,10,40,35.70032573
8,7,50,10,60,32.31270358
8,7,50,10,60,40
8,7,50,10,40,30.61889251
8,7,50,10,40,39.60912052
8,7,50,10,60,41.56351792
8,7,55,15,40,28.99022801
8,7,45,15,30,26.71009772
8,7,55,15,70,43.77850163
8,7,45,15,60,41.95439739
8,7,45,15,30,19.93485342
8,7,55,15,40,32.70358306
8,7,55,15,70,44.49511401
8,7,45,15,60,39.0228013
8,7,55,15,40,34.91856678
8,7,45,15,30,28.92508143
8,7,45,15,60,38.6970684
8,7,55,15,70,44.95114007
8,7,55,15,70,45.27687296
8,7,55,15,40,29.96742671
8,7,45,15,30,28.01302932
8,7,45,15,60,41.04234528
8,7,55,15,70,42.73615635
8,7,45,15,30,27.62214984
8,7,55,15,40,35.24429967
8,7,45,15,60,39.60912052
8,7,50,20,30,24.75570033
8,7,50,20,70,42.99674267
8,7,50,20,70,40.6514658
8,7,50,20,30,29.90228013
8,7,50,20,70,44.16938111
8,7,50,20,30,30.09771987
8,7,50,20,30,25.21172638
8,7,50,20,70,45.08143322
8,7,50,20,70,41.49837134
8,7,50,20,30,28.53420195
9,8,50,10,40,31.72638436
9,8,50,10,60,45.86319218
9,8,50,10,60,56.61237785
9,8,50,10,40,29.77198697
9,8,50,10,40,56.35179153
9,8,50,10,60,65.08143322
9,8,50,10,40,51.53094463
9,8,50,10,60,65.60260586
9,8,50,10,60,69.51140065
9,8,50,10,40,45.08143322
9,8,55,15,70,54.91856678
9,8,45,15,30,22.01954397
9,8,55,15,40,33.61563518
9,8,45,15,60,48.92508143
9,8,55,15,70,60.39087948
9,8,45,15,60,36.93811075
9,8,45,15,30,32.63843648
9,8,55,15,40,52.05211726
9,8,45,15,30,43.64820847
9,8,55,15,40,48.66449511
9,8,55,15,70,64.16938111
9,8,45,15,60,59.60912052
9,8,55,15,40,44.62540717
9,8,45,15,30,38.11074919
9,8,45,15,60,55.24429967
9,8,55,15,70,74.8534202
9,8,55,15,40,52.5732899
9,8,45,15,60,67.16612378
9,8,45,15,30,30.03257329
9,8,55,15,70,73.94136808
9,8,50,20,70,46.57980456
9,8,50,20,30,24.56026059
9,8,50,20,70,52.50814332
9,8,50,20,30,40.19543974
9,8,50,20,30,37.45928339
9,8,50,20,70,67.68729642
9,8,50,20,70,68.99022801
9,8,50,20,30,39.80456026
9,8,50,20,30,46.57980456
9,8,50,20,70,77.98045603
10,9,50,10,60,57.45928339
10,9,50,10,60,51.46579805
10,9,50,10,40,52.8990228
10,9,50,10,60,50.42345277
10,9,50,10,40,50.29315961
10,9,50,10,60,62.80130293
10,9,50,10,60,62.34527687
10,9,50,10,40,42.21498371
10,9,55,15,70,60.6514658
10,9,45,15,60,46.7752443
10,9,45,15,30,10.48859935
10,9,55,15,70,61.75895765
10,9,55,15,40,43.12703583
10,9,45,15,60,41.49837134
10,9,55,15,40,30.22801303
10,9,45,15,30,16.28664495
10,9,45,15,60,30.94462541
10,9,55,15,70,57.85016287
10,9,45,15,60,58.30618893
10,9,55,15,70,56.35179153
10,9,55,15,40,33.02931596
10,9,45,15,30,26.18892508
10,9,45,15,30,25.99348534
10,9,55,15,40,25.21172638
10,9,50,20,70,60.9771987
10,9,50,20,30,13.94136808
10,9,50,20,30,20.26058632
10,9,50,20,70,66.71009772
10,9,50,20,70,57.32899023
10,9,50,20,30,30.29315961
10,9,50,20,30,7.817589577
10,9,50,20,70,64.82084691
10,9,50,20,30,18.89250814
10,9,50,20,70,66.18892508
11,10,50,10,40,19.41368078
11,10,50,10,60,49.51140065
11,10,50,10,60,60.52117264
11,10,50,10,40,34.46254072
11,10,50,10,60,55.30944625
11,10,50,10,40,34.5276873
11,10,50,10,40,36.22149837
11,10,50,10,60,64.69055375
11,10,50,10,40,49.25081433
11,10,50,10,60,24.36482085
11,10,45,15,30,12.05211726
11,10,55,15,40,25.27687296
11,10,45,15,60,37.78501629
11,10,55,15,70,50.16286645
11,10,45,15,30,24.69055375
11,10,55,15,70,65.53745928
11,10,55,15,40,30.87947883
11,10,45,15,60,47.23127036
11,10,45,15,60,30.03257329
11,10,45,15,30,33.81107492
11,10,55,15,70,58.3713355
11,10,55,15,40,33.5504886
11,10,55,15,70,67.88273616
11,10,45,15,30,14.46254072
11,10,55,15,40,39.6742671
11,10,45,15,60,60.26058632
11,10,55,15,70,70.61889251
11,10,45,15,30,20.84690554
11,10,45,15,60,47.68729642
11,10,55,15,40,33.94136808
11,10,50,20,70,59.73941368
11,10,50,20,30,7.296416938
11,10,50,20,30,14.59283388
11,10,50,20,70,69.57654723
11,10,50,20,70,69.31596091
11,10,50,20,30,9.576547231
