"","a"
"1",44.5911644197967
"2",55.5437597147822
"3",55.6567131658343
"4",44.4097414472577
"5",55.3909020478782
"6",44.5433128616866
"7",44.5772174768584
"8",55.5771076197654
"9",44.7463148532575
"10",55.4651386659425
"11",63.183427067032
"12",46.9516984369762
"13",53.1270722851567
"14",36.9496123455882
"15",46.5650473345355
"16",63.2292303415971
"17",53.2989555218298
"18",36.8432968177917
"19",53.0187809362772
"20",36.9030580788145
"21",63.1268173615544
"22",46.7237674066121
"23",63.2391952738454
"24",53.0580799861252
"25",36.9897185321895
"26",46.78022684265
"27",36.8163929057126
"28",63.3000620693279
"29",46.8768679230348
"30",53.1405956943201
"31",60.9923274583572
"32",38.9399428902317
"33",39.1751759628059
"34",61.1498400045176
"35",60.812114095847
"36",38.9963700368715
"37",61.0636600574587
"38",38.9401942685941
"39",38.9926678307209
"40",60.9047181923673
"41",43.8436442002763
"42",56.0843369865152
"43",43.9745964388938
"44",56.0531702512553
"45",44.0342151172884
"46",56.0796251637124
"47",56.0223696016908
"48",43.9614472048071
"49",44.0390092609284
"50",56.0778010250579
"51",35.8702141506976
"52",45.9802004001367
"53",64.2049015220332
"54",54.1314442523758
"55",35.9519480480941
"56",54.1667816259292
"57",64.1013659170284
"58",45.9475096791263
"59",64.0971920638804
"60",35.9341918319164
"61",45.9707290016086
"62",54.0073854470996
"63",35.9444947711742
"64",45.9820331892438
"65",54.0535259255069
"66",64.0283785077534
"67",64.0880763603593
"68",35.9275041765034
"69",54.0007593103394
"70",46.006084911314
"71",37.8920794118961
"72",62.1110303426909
"73",62.0897644661679
"74",37.9032657148919
"75",37.938429074039
"76",62.1280611645043
"77",62.1136773610735
"78",37.9174518950971
"79",62.1120824797932
"80",37.9022280807871
"81",45.6829791330904
"82",54.4648030864736
"83",45.8044678553636
"84",54.3218715244348
"85",45.8324743042729
"86",54.2996883265825
"87",54.3891993814821
"88",54.2175149630409
"89",45.7211970312915
"90",38.5676876997985
"91",61.3427405633742
"92",48.5078158773897
"93",51.3633442113945
"94",38.6195700360339
"95",48.634634626195
"96",61.5499822726631
"97",48.5677022942414
"98",61.6379132583774
"99",38.5868648781098
"100",51.3349028986408
"101",38.7130080937015
"102",61.4225454613395
"103",48.5208525918846
"104",51.3109060967756
"105",51.3364952943438
"106",61.4576348663012
"107",48.4656023162887
"108",38.5395644801243
"109",58.576443312438
"110",41.5025797408821
"111",58.682074343277
"112",41.3411260407917
"113",41.4226786024024
"114",58.583726165342
"115",58.4957666465288
"116",41.4383854974108
"117",41.4178095541216
"118",58.5051778328916
"119",54.8429562948745
"120",44.9920559454196
"121",54.9995816338891
"122",45.2494828275029
"123",55.088749444944
"124",45.1746193854999
"125",45.1003688615283
"126",54.8370258208328
"127",45.1268198922488
"128",55.0306242067268
"129",47.409493042484
"130",37.6373030857328
"131",52.3067482760201
"132",62.4067542791002
"133",47.6792956155665
"134",52.5863838739217
"135",37.5608904174992
"136",52.3530908822973
"137",37.6258964972567
"138",62.1602124995066
"139",47.5450449085186
"140",37.3846095671628
"141",62.3987758532869
"142",47.5095059121505
"143",52.538640359106
"144",62.4259435482283
"145",52.446457496799
"146",37.3960921946326
"147",47.5048852231252
"148",40.2670245218419
"149",59.8367439356429
"150",39.8969342903581
"151",59.9825853839332
"152",59.9477227439757
"153",40.1062968761446
"154",39.9281479879046
"155",60.0366660486668
"156",59.9536539558285
"157",40.0332705441909
"158",57.8261739918847
"159",42.1541661436491
"160",42.0945437762222
"161",57.8388633977148
"162",42.1450871531269
"163",57.8846403831361
"164",42.0927157713026
"165",57.9487527038923
"166",57.8325910259607
"167",42.1676731229938
"168",56.84505047913
"169",66.7422669168473
"170",33.0731474779034
"171",43.3699339863722
"172",43.1233633500778
"173",66.8248478661938
"174",33.2184861388534
"175",56.7824300005942
"176",33.1484135657088
"177",43.1698996358216
"178",56.7935182656795
"179",66.8733449043659
"180",66.8621135859209
"181",33.3106104063588
"182",56.79243277672
"183",33.1980249807615
"184",43.2462587132239
"185",66.8060794012241
"186",56.8879419161874
"187",65.6587531427856
"188",34.2788767703118
"189",65.7473366608061
"190",34.3538007693933
"191",34.3206048904999
"192",65.6974714639169
"193",34.3177408170934
"194",65.7529101770035
"195",65.6784741211607
"196",34.1721534196789
"197",58.7507321637316
"198",41.3232186272072
"199",58.6462302093092
"200",41.2903194559274
"201",41.2416547413751
"202",58.7086186975309
"203",58.7526610927751
"204",41.2972242496328
"205",58.7411527533893
"206",41.2132748133968
"207",41.8780335404185
"208",58.0677205482872
"209",68.0624023458505
"210",31.9148336444897
"211",41.9638017056069
"212",58.1491517321216
"213",68.0792035266829
"214",31.8172886860651
"215",31.8727042987496
"216",41.7975743677726
"217",58.0332909548509
"218",68.0939649140332
"219",68.1078676808794
"220",31.8746202597754
"221",58.0876804656843
"222",41.8396878248159
"223",41.8807220751472
"224",31.9077093160704
"225",68.0747808482538
"226",58.1253225115725
"227",32.539821999168
"228",67.517269838408
"229",32.5646834018946
"230",67.44072810133
"231",67.503139290387
"232",32.4484962529284
"233",32.5634829370335
"234",67.4430128389382
"235",32.4631689191856
"236",67.4972491190782
"237",45.3292966746909
"238",54.5566364899231
"239",54.8556097121911
"240",45.3706967110974
"241",45.3469048754977
"242",54.6917581773397
"243",54.7143566941755
"244",45.3184236033987
"245",45.1841948982475
"246",54.7137408860739
"247",47.8356525637322
"248",37.8572219309737
"249",62.1790570665951
"250",52.0852253302648
"251",37.8418003646663
"252",47.9144792945987
"253",62.1271578178501
"254",51.9178152887296
"255",47.822091016658
"256",37.9227857189413
"257",52.1287446232233
"258",62.2203497210976
"259",62.2792370888923
"260",47.8967346775859
"261",37.954578572634
"262",52.3249491516694
"263",62.1699203326869
"264",37.8550581435277
"265",47.857040053266
"266",52.0401556478578
"267",40.4115351861997
"268",59.4291973925248
"269",59.4615742957865
"270",40.4943247506916
"271",59.4535497940239
"272",40.5010598208055
"273",40.4694213410355
"274",59.3395413442726
"275",59.6145009532863
"276",40.4447598152357
"277",43.4730325067849
"278",56.4381852361888
"279",56.4301901504448
"280",43.4932807111186
